"time","open","high","low","close","tick_volume","spread","real_volume"
"2022-10-25 10:00:00","35.0","35.23","35.0","35.19","145","1","20042"
"2022-10-25 10:15:00","35.19","35.22","35.0","35.06","120","1","25108"
"2022-10-25 10:30:00","35.15","35.95","35.15","35.84","325","1","119083"
"2022-10-25 10:45:00","35.88","36.18","35.87","36.04","205","1","37066"
"2022-10-25 11:00:00","36.07","36.3","35.99","36.24","215","1","182374"
"2022-10-25 11:15:00","36.25","36.53","36.16","36.45","152","1","63584"
"2022-10-25 11:30:00","36.45","36.49","36.22","36.24","136","1","45303"
"2022-10-25 11:45:00","36.27","36.64","36.27","36.64","184","1","36318"
"2022-10-25 12:00:00","36.64","36.87","36.62","36.79","168","1","24090"
"2022-10-25 12:15:00","36.81","36.89","36.7","36.7","133","1","27854"
"2022-10-25 12:30:00","36.7","36.75","36.58","36.71","137","1","10140"
"2022-10-25 12:45:00","36.72","36.82","36.68","36.76","81","1","8682"
"2022-10-25 13:00:00","36.76","36.86","36.65","36.85","124","1","39298"
"2022-10-25 13:15:00","36.85","37.03","36.82","37.02","238","1","62570"
"2022-10-25 13:30:00","37.03","37.05","36.91","37.05","119","1","44713"
"2022-10-25 13:45:00","37.05","37.1","36.73","36.76","113","1","52066"
"2022-10-25 14:00:00","36.77","36.86","36.46","36.48","133","1","32866"
"2022-10-25 14:15:00","36.47","36.56","36.4","36.53","80","1","14782"
"2022-10-25 14:30:00","36.57","36.67","36.25","36.38","185","1","26193"
"2022-10-25 14:45:00","36.39","36.5","36.33","36.4","221","1","12001"
"2022-10-25 15:00:00","36.4","36.67","36.4","36.57","393","1","13422"
"2022-10-25 15:15:00","36.56","36.93","36.56","36.89","384","1","25133"
"2022-10-25 15:30:00","36.86","36.98","36.81","36.83","356","1","25670"
"2022-10-25 15:45:00","36.81","36.9","36.74","36.82","370","1","31415"
"2022-10-25 16:00:00","36.8","36.95","36.8","36.95","440","1","16891"
"2022-10-25 16:15:00","36.93","37.06","36.9","37.0","484","1","102871"
"2022-10-25 16:30:00","36.98","37.05","36.92","37.03","433","1","68894"
"2022-10-25 16:45:00","37.01","37.03","36.82","36.82","304","1","22064"
"2022-10-26 10:00:00","36.57","36.57","36.41","36.49","225","1","38922"
"2022-10-26 10:15:00","36.46","36.58","36.41","36.54","94","1","11908"
"2022-10-26 10:30:00","36.54","37.58","36.32","37.52","346","1","149050"
"2022-10-26 10:45:00","37.52","37.97","37.52","37.56","237","1","144311"
"2022-10-26 11:00:00","37.56","37.96","37.56","37.74","200","1","134919"
"2022-10-26 11:15:00","37.77","37.94","37.63","37.87","95","1","19397"
"2022-10-26 11:30:00","37.87","38.22","37.84","38.17","236","1","80177"
"2022-10-26 11:45:00","38.17","38.34","38.01","38.01","167","1","49698"
"2022-10-26 12:00:00","38.02","38.35","38.02","38.28","114","1","19970"
"2022-10-26 12:15:00","38.28","38.28","38.09","38.15","98","1","24159"
"2022-10-26 12:30:00","38.15","38.2","38.05","38.1","86","1","8592"
"2022-10-26 12:45:00","38.09","38.11","37.89","38.05","90","1","39645"
"2022-10-26 13:00:00","38.07","38.22","38.07","38.21","89","1","20869"
"2022-10-26 13:15:00","38.2","38.27","38.14","38.14","94","1","25702"
"2022-10-26 13:30:00","38.13","38.2","37.99","38.02","91","1","10838"
"2022-10-26 13:45:00","37.99","38.03","37.66","37.76","150","1","34903"
"2022-10-26 14:00:00","37.77","37.8","37.63","37.76","108","1","49614"
"2022-10-26 14:15:00","37.77","37.83","37.54","37.54","121","1","34659"
"2022-10-26 14:30:00","37.53","37.86","37.45","37.86","160","1","10000"
"2022-10-26 14:45:00","37.85","37.93","37.79","37.88","83","1","32450"
"2022-10-26 15:00:00","37.88","38.1","37.83","38.02","73","1","9346"
"2022-10-26 15:15:00","38.03","38.12","37.82","37.82","95","1","38481"
"2022-10-26 15:30:00","37.82","37.96","37.78","37.78","100","1","19131"
"2022-10-26 15:45:00","37.73","37.88","37.71","37.81","85","1","25412"
"2022-10-26 16:00:00","37.79","37.79","37.62","37.71","69","1","12616"
